Week,Data science: (Worldwide)
12/31/2017,34
1/7/2018,40
1/14/2018,38
1/21/2018,45
1/28/2018,40
2/4/2018,41
2/11/2018,40
2/18/2018,41
2/25/2018,41
3/4/2018,41
3/11/2018,41
3/18/2018,40
3/25/2018,40
4/1/2018,41
4/8/2018,41
4/15/2018,41
4/22/2018,34
4/29/2018,42
5/6/2018,39
5/13/2018,43
5/20/2018,41
5/27/2018,44
6/3/2018,43
6/10/2018,40
6/17/2018,40
6/24/2018,41
7/1/2018,40
7/8/2018,44
7/15/2018,43
7/22/2018,46
7/29/2018,46
8/5/2018,45
8/12/2018,43
8/19/2018,45
8/26/2018,45
9/2/2018,49
9/9/2018,45
9/16/2018,48
9/23/2018,47
9/30/2018,45
10/7/2018,48
10/14/2018,46
10/21/2018,47
10/28/2018,48
11/4/2018,49
11/11/2018,43
11/18/2018,43
11/25/2018,47
12/2/2018,44
12/9/2018,43
12/16/2018,43
12/23/2018,37
12/30/2018,41
1/6/2019,47
1/13/2019,49
1/20/2019,46
1/27/2019,52
2/3/2019,52
2/10/2019,47
2/17/2019,53
2/24/2019,50
3/3/2019,49
3/10/2019,48
3/17/2019,55
3/24/2019,58
3/31/2019,50
4/7/2019,50
4/14/2019,52
4/21/2019,48
4/28/2019,51
5/5/2019,49
5/12/2019,53
5/19/2019,57
5/26/2019,52
6/2/2019,51
6/9/2019,54
6/16/2019,56
6/23/2019,47
6/30/2019,53
7/7/2019,57
7/14/2019,57
7/21/2019,60
7/28/2019,62
8/4/2019,58
8/11/2019,56
8/18/2019,57
8/25/2019,57
9/1/2019,59
9/8/2019,66
9/15/2019,65
9/22/2019,61
9/29/2019,55
10/6/2019,61
10/13/2019,59
10/20/2019,58
10/27/2019,57
11/3/2019,59
11/10/2019,59
11/17/2019,62
11/24/2019,58
12/1/2019,63
12/8/2019,53
12/15/2019,50
12/22/2019,55
12/29/2019,50
1/5/2020,64
1/12/2020,64
1/19/2020,65
1/26/2020,65
2/2/2020,67
2/9/2020,68
2/16/2020,70
2/23/2020,72
3/1/2020,67
3/8/2020,59
3/15/2020,51
3/22/2020,46
3/29/2020,50
4/5/2020,52
4/12/2020,57
4/19/2020,57
4/26/2020,62
5/3/2020,56
5/10/2020,57
5/17/2020,57
5/24/2020,60
5/31/2020,62
6/7/2020,62
6/14/2020,65
6/21/2020,63
6/28/2020,67
7/5/2020,66
7/12/2020,67
7/19/2020,70
7/26/2020,62
8/2/2020,62
8/9/2020,61
8/16/2020,72
8/23/2020,71
8/30/2020,65
9/6/2020,67
9/13/2020,65
9/20/2020,62
9/27/2020,58
10/4/2020,62
10/11/2020,53
10/18/2020,54
10/25/2020,50
11/1/2020,51
11/8/2020,49
11/15/2020,54
11/22/2020,47
11/29/2020,50
12/6/2020,53
12/13/2020,49
12/20/2020,49
12/27/2020,47
1/3/2021,53
1/10/2021,56
1/17/2021,59
1/24/2021,56
1/31/2021,53
2/7/2021,54
2/14/2021,57
2/21/2021,53
2/28/2021,54
3/7/2021,53
3/14/2021,54
3/21/2021,53
3/28/2021,49
4/4/2021,54
4/11/2021,56
4/18/2021,54
4/25/2021,54
5/2/2021,53
5/9/2021,57
5/16/2021,56
5/23/2021,57
5/30/2021,59
6/6/2021,61
6/13/2021,58
6/20/2021,57
6/27/2021,54
7/4/2021,56
7/11/2021,60
7/18/2021,55
7/25/2021,57
8/1/2021,55
8/8/2021,58
8/15/2021,57
8/22/2021,63
8/29/2021,60
9/5/2021,60
9/12/2021,63
9/19/2021,61
9/26/2021,63
10/3/2021,60
10/10/2021,55
10/17/2021,64
10/24/2021,57
10/31/2021,58
11/7/2021,60
11/14/2021,64
11/21/2021,57
11/28/2021,61
12/5/2021,59
12/12/2021,61
12/19/2021,54
12/26/2021,54
1/2/2022,83
1/9/2022,84
1/16/2022,76
1/23/2022,88
1/30/2022,86
2/6/2022,88
2/13/2022,92
2/20/2022,89
2/27/2022,89
3/6/2022,91
3/13/2022,91
3/20/2022,94
3/27/2022,94
4/3/2022,97
4/10/2022,92
4/17/2022,91
4/24/2022,100
5/1/2022,89
5/8/2022,93
5/15/2022,94
5/22/2022,87
5/29/2022,87
6/5/2022,91
6/12/2022,89
6/19/2022,96
6/26/2022,92
7/3/2022,95
7/10/2022,95
7/17/2022,92
7/24/2022,92
7/31/2022,97
8/7/2022,93
8/14/2022,95
8/21/2022,98
8/28/2022,92
9/4/2022,92
9/11/2022,98
9/18/2022,98
9/25/2022,95
10/2/2022,87
10/9/2022,94
10/16/2022,91
10/23/2022,85
10/30/2022,96
11/6/2022,92
11/13/2022,90
11/20/2022,82
11/27/2022,85
12/4/2022,78
12/11/2022,85
12/18/2022,74
